scholar_id_autor_gs,scholar_id_gs_coauthor,nombre_coauthor,cargo
yruj4GgAAAAJ,8nL6ZKsAAAAJ,Bruce Kennedy Cassels,Universidad de Chile
yruj4GgAAAAJ,NoPM3f8AAAAJ,Rafael Islas,Universidad Andres Bello
yruj4GgAAAAJ,GYbT_iIAAAAJ,Ramiro Arratia-Perez,Universidad Andres Bello
yruj4GgAAAAJ,iRc-CqIAAAAJ,Julio Caballero,Universidad de Talca
yruj4GgAAAAJ,VzOkXYQAAAAJ,patricio fuentealba,profesor de fisica Uch
yruj4GgAAAAJ,2mpITYcAAAAJ,Fanor Mondragon,Universidad de Antioquia
yruj4GgAAAAJ,WicARikAAAAJ,Maria A. Fernandez-Herrera,Centro de Investigación y de Estudios Avanzados Unidad Mérida
yruj4GgAAAAJ,GL0BQ4oAAAAJ,Karen Palacio-Rodriguez,"Postdoc, Max Planck Institute of Biophysics"
yruj4GgAAAAJ,wwh9fP4AAAAJ,Miquel Solà Puig (ORCID: 0000-0002-1917-7450),University of Girona (GRID grid.5319.e / ROR 01xdxns91)
yruj4GgAAAAJ,WYniWvAAAAAJ,Jordi Poater - ORCID: 0000-0002-0814-5074,Universitat de Barcelona (UB) & ICREA
yruj4GgAAAAJ,ZmUhAjEAAAAJ,Said Jalife Jacobo,University of Houston
-KABYVwAAAAJ,Mn_m5kAAAAAJ,Michel  Valdés Montecinos,Académico Universidad de Tarapacá
-KABYVwAAAAJ,_957t_YAAAAJ,Susana Correa Castillo,Universidad de las Américas
-KABYVwAAAAJ,xoykbToAAAAJ,Wendolin Suarez-Amaya,Universidad Tecnológica Metropolitana
-KABYVwAAAAJ,U17HklMAAAAJ,Marco Pfeiffer,Universidad de Chile
-KABYVwAAAAJ,U9HfTlEAAAAJ,José Sergei Padarian,University of Sydney
pszot3gAAAAJ,v_zvgWgAAAAJ,Rodrigo A. Moreno,"Full Professor, Universidad Santo Tomás"
pszot3gAAAAJ,APAtNKMAAAAJ,Peter KL Ng,National University of Singapore
pszot3gAAAAJ,CZG0D0kAAAAJ,Sven Thatje,"University of Southampton, National Oceanography Centre Southampton"
up7dV9YAAAAJ,63ASKpUAAAAJ,Javier Vazquez Pique,"Profesor de Ciencias Agroforestales, Universidad de Huelva"
up7dV9YAAAAJ,sjoUeIcAAAAJ,Erico R. Carmona,"Academic, Universidad Arturo Prat, Chile"
up7dV9YAAAAJ,N5ZXU38AAAAJ,Enrique Andivia,Universidad Complutense de Madrid (Spain)
up7dV9YAAAAJ,a-PAekgAAAAJ,Juan M. Domingo-Santos,Universidad de Huelva
NgJMCOYAAAAJ,e-jLRtgAAAAJ,Chew-Hung Chang,"National Institute of Education, Nanyang Technological Univeristy"
vBZc6M0AAAAJ,srhMOKMAAAAJ,Rodrigo Olea,"UNAB, Chile"
vBZc6M0AAAAJ,7PTfXY0AAAAJ,Ignacio J. Araya,Universidad Arturo Prat
vBZc6M0AAAAJ,SI_Z6osAAAAJ,David Rivera Betancour,"PhD student, Ecole Polytechnique"
vBZc6M0AAAAJ,6jFyjZwAAAAJ,Javier Moreno,University of Haifa-Technion
vBZc6M0AAAAJ,XcjgDtwAAAAJ,Ioannis Papadimitriou,National and Kapodistrian University of Athens
vBZc6M0AAAAJ,_lu4kN4AAAAJ,Olivera Miskovic,Professor at Pontificia Universidad Católica de Valparaíso
vBZc6M0AAAAJ,GRRk3BsAAAAJ,Elias Vagenas,"Department of Physics, Kuwait University"
vBZc6M0AAAAJ,BLqsaYYAAAAJ,Mohammad Reza Setare,University of Kurdistan
vNFVFJkAAAAJ,95XWzKgAAAAJ,Cristian Ovando Santana,"Universidad de Tarapacá, Dpto. de Ciencias Sociales."
vNFVFJkAAAAJ,SkeNfL8AAAAJ,Marcela Tapia Ladino,"Profesora Titular, Directora del Doctorado en Estudios Transfronterizos del Instituto de Estudios"
7PTfXY0AAAAJ,srhMOKMAAAAJ,Rodrigo Olea,"UNAB, Chile"
7PTfXY0AAAAJ,vIyPRS8AAAAJ,Itzhak Bars,"Professor of Physics, University of Southern California"
7PTfXY0AAAAJ,dxO7tcIAAAAJ,Albin James,"Post-doctorant, LPTHE, UPMC, Paris"
7PTfXY0AAAAJ,kXurQhcAAAAJ,Johannes Knapp,DESY Zeuthen
7PTfXY0AAAAJ,NO_XCSAAAAAJ,marcos alania,PhD in Physics
sC-GIj8AAAAJ,95XWzKgAAAAJ,Cristian Ovando Santana,"Universidad de Tarapacá, Dpto. de Ciencias Sociales."
sC-GIj8AAAAJ,ckIjzZQAAAAJ,Claudio Fuentes,Universidad Diego Portales
sC-GIj8AAAAJ,4_OuL30AAAAJ,Sergio González Pizarro,Universidad de Tarapacá
sC-GIj8AAAAJ,He4a1y8AAAAJ,Carlos Piñones Rivera,"Universidad de Tarapacá, Chile. Departamento de Ciencias Sociales, Iquique"
IM-YqIYAAAAJ,vNFVFJkAAAAJ,Romina Ramos Rodríguez,Investigadora. Universidad Arturo Prat
3uVC6pwAAAAJ,yaVz93cAAAAJ,hernando quevedo,National Autonomous University of Mexico
3uVC6pwAAAAJ,XTFQ6zoAAAAJ,Cristobal Corral,"Universidad Arturo Prat, Instituto de Ciencias Exactas y Naturales, Facultad de Ciencias"
3uVC6pwAAAAJ,o_nMdPYAAAAJ,Román Linares Romero,Professor in Physics
3uVC6pwAAAAJ,5t2Z_-oAAAAJ,César S López-Monsalvo,Universidad Autónoma Metropolitana -- Azcapotzalco
3uVC6pwAAAAJ,JzcLTlIAAAAJ,Bryan Larios,"Profesor Titular 4, Escuela de Física, Universidad Nacional Autónoma de Honduras"
ZyjpvZUAAAAJ,elP_b0YAAAAJ,Haroldo Dilla Alfonso,"profesor titular y director del Instituto de Estudios Internacionales, UNAP, Chile"
aiCf2wQAAAAJ,1EzAU0MAAAAJ,Simone Cesca,
aiCf2wQAAAAJ,q7ZAQVoAAAAJ,T Dahm,
aiCf2wQAAAAJ,aN2cbxkAAAAJ,Francesco Grigoli,"University of Pisa, Department of Earth Sciences"
aiCf2wQAAAAJ,VPMsPsUAAAAJ,Sebastian Heimann,University of Potsdam
aiCf2wQAAAAJ,6nesTmAAAAAJ,José Ángel López Comino,"Instituto Andaluz de Geofísica, Universidad de Granada, Granada, Spain."
aiCf2wQAAAAJ,anObVi0AAAAJ,Marianne Métois,UCBL-LGLTPE-OSUL
aiCf2wQAAAAJ,d39g-UgAAAAJ,Martin Vallée,Institut de Physique du Globe de Paris
aiCf2wQAAAAJ,3hjFz4MAAAAJ,Jean-Paul Boy,EOST/ITES
aiCf2wQAAAAJ,13ceOpEAAAAJ,Jean-Pierre Vilotte,Professor seismology
aiCf2wQAAAAJ,bP76gpcAAAAJ,Christophe Vigny,"directeur de recherches CNRS, laboratoire de géologie de l'ENS"
aiCf2wQAAAAJ,FxfNl6IAAAAJ,Gianina Meneses,Ruhr University Bochum
aiCf2wQAAAAJ,gyRusvAAAAAJ,Claudio Satriano,"Seismologist, Institut de Physique du Globe de Paris"
aiCf2wQAAAAJ,lh7j4-wAAAAJ,Onno Oncken,GeoForschungsZentrum Potsdam
aiCf2wQAAAAJ,GlgyXekAAAAJ,Bernd Schurr,GFZ German Research Centre for Geosciences
aiCf2wQAAAAJ,xBtoDf0AAAAJ,Christian Sippl,"Institute of Geophysics, Czech Academy of Sciences"
aiCf2wQAAAAJ,7Owan_0AAAAJ,Joaquín Cortés-Aranda,"Profesor Asociado, Universidad de Concepción, Chile"
aiCf2wQAAAAJ,WKIn8rwAAAAJ,Masataka Kinoshita,Japan agency for Marine-Earth Science and Technology
aiCf2wQAAAAJ,2PDDAhUAAAAJ,Tim Davis,University of Oxford
aiCf2wQAAAAJ,HqIUR4sAAAAJ,Javier Ojeda,Institut de Physique du Globe de Paris & Universidad de Chile
7lOxHGkAAAAJ,fHgmV5kAAAAJ,SALVADOR LLINARES CISCAR,university of alicante
OeyGxKMAAAAJ,IJqHF24AAAAJ,Victor Tello,Professor
OeyGxKMAAAAJ,4Cg-fGqzPigC,Davor Cotoras Tadic,Universidad de Chile
YVio21sAAAAJ,D5lchR0AAAAJ,Fernando Rodriguez-Lopez (ORCID 0...,"Professor of Economics, University of Salamanca"
YVio21sAAAAJ,ZFJXLfQAAAAJ,Tania Porcaro,"Investigadora, Instituto de Geografia, Universidad de Buenos Aires"
