scholar_id_autor_gs,scholar_id_gs_coauthor,nombre_coauthor,cargo
x2wtU-oAAAAJ,yqBVxFsAAAAJ,Maria Montt Strabucchi,Pontificia Universidad Católica de Chile
x2wtU-oAAAAJ,KA3hBLoAAAAJ,Lucas Maubert,Universidad de Tarapacá
x2wtU-oAAAAJ,GKncQeQAAAAJ,Nashely Yuvitza Lizarme Villcas,Universidad Nacional Mayor de San Marcos
ZbAPeNkAAAAJ,VC_7PFEAAAAJ,"Paulina Perez Mejias, Ph.D.",Johns Hopkins University
ZbAPeNkAAAAJ,mJ373RkAAAAJ,Ana Luisa Munoz-Garcia,Pontificia Universidad Catolica de Chile
ZbAPeNkAAAAJ,52by25AAAAAJ,Kyria Finardi,Federal University of Espirito Santo / UFES
ZbAPeNkAAAAJ,comwUOgAAAAJ,Maresi Nerad,"Professor of Higher Education, University of Washington, Seattle"
b6DDNIoAAAAJ,ATFF7ikAAAAJ,Francisco Ganga Contreras,Universidad de Tarapacá
b6DDNIoAAAAJ,I61QOLIAAAAJ,Walter Sáez San Martín,Universidad de Tarapacá
b6DDNIoAAAAJ,xoykbToAAAAJ,Wendolin Suarez-Amaya,Universidad Tecnológica Metropolitana
b6DDNIoAAAAJ,FgEMtxQAAAAJ,Liliana Pedraja Rejas,Profesora Titular Universidad de Tarapaca
b6DDNIoAAAAJ,_mR2Ky8AAAAJ,carmen araneda guirriman,Universidad de Tarapacá
b6DDNIoAAAAJ,hp4_Yu0AAAAJ,Andres Bernasconi,"Facultad de Educación, Pontificia Universidad Católica de Chile"
b6DDNIoAAAAJ,OGJhUskAAAAJ,Juan Bautista abello romero,Universidad de Santiago de Chile (USACH)
b6DDNIoAAAAJ,6UaHQvYAAAAJ,Oswaldo Leyva Cordero,"Universidad Autónoma de Nuevo León, Facultad de Ciencias Políticas y Relaciones Internacionales"
b6DDNIoAAAAJ,MQzLzYwAAAAJ,"PhD, Claudio Mancilla","Universidad de Los Lagos, Departamento de Ciencias Administrativas y Económicas"
b6DDNIoAAAAJ,8yWzaaAAAAAJ,Nancy Alarcon Henríquez,Universidad de Los Lagos
b6DDNIoAAAAJ,CgsrtGgAAAAJ,Citlaly Yamileth Martínez Castañeda,"Profesora de políticas públicas, Universidad Autónoma de Sinaloa"
b6DDNIoAAAAJ,WV3YhakAAAAJ,Carlos Mauricio Salazar Botello (ORCI...,Universidad del Bío-Bío
2788zbAAAAAJ,4zS5OQkAAAAJ,Dolores Frias-Navarro (ORCID: 0000-...,Universidad de Valencia
2788zbAAAAAJ,IspRncgAAAAJ,Marcos Pascual Soler,ESIC Business & Marketing School
2788zbAAAAAJ,t6IkuyIAAAAJ,Jorge Maluenda Albornoz,"Industrial Engineering Department, Universidad de Concepción"
s-yCVGoAAAAJ,PrFcIucAAAAJ,Victor E. Olivares Faúndez,Profesor de Psicología
e1qd48sAAAAJ,lb_Fa7AAAAAJ,Senior Prof. P G Siddheshwar,CHRIST(Deemed to be University)
e1qd48sAAAAJ,TKDdBTkAAAAJ,David Laroze,"Professor of Physics, Universidad de Tarapacá"
e1qd48sAAAAJ,FsGg1ggAAAAJ,Farzad Ismail,"Professor, Universiti Sains Malaysia"
e1qd48sAAAAJ,ihvIJ2oAAAAJ,Kanchana C,"Universidad de Tarapacá, Chile"
e1qd48sAAAAJ,U58zWgkAAAAJ,S. M.  Mallikarjunaiah,"Assistant Professor, Texas A&M University-Corpus Christi"
VEYbhSkAAAAJ,rl3utNkAAAAJ,Alessandro Soares da Silva,Universidade de São Paulo
I61QOLIAAAAJ,ATFF7ikAAAAJ,Francisco Ganga Contreras,Universidad de Tarapacá
I61QOLIAAAAJ,GF_IzmgAAAAJ,Adolfo Ignacio Calderón,Professor titular  do Programa de Pós-graduação em Educação da PUC-Campinas
I61QOLIAAAAJ,OSSLHcAAAAAJ,Emilio Rodríguez Ponce,Profesor Titular - Universidad de Tarapacá (Chile)
I61QOLIAAAAJ,b6DDNIoAAAAJ,Patricio Viancos González,Universidad de Tarapacá
I61QOLIAAAAJ,zbv0SZoAAAAJ,Angel Calderon,RMIT University
I61QOLIAAAAJ,OGJhUskAAAAJ,Juan Bautista abello romero,Universidad de Santiago de Chile (USACH)
I61QOLIAAAAJ,U2zDNT8AAAAJ,Luis Araya-Castillo,"Decano, Facultad de Ingeniería y Empresa, Universidad Católica Silva Henríquez (UCSH)"
I61QOLIAAAAJ,KFblu1EAAAAJ,Julio Lopez-Nunez,Academico Universidad Tecnologica de Chile - INACAP
CnEEXs8AAAAJ,b_Dv8dkAAAAJ,Mauro Bologna,"Physics researcher, Tarapacá University"
CnEEXs8AAAAJ,5vzbj6QAAAAJ,J. C. Flores,Universidad de Tarapacá
CnEEXs8AAAAJ,zrdfFyMAAAAJ,Edmundo Lazo,"Departamento de Física, Facultad de Ciencias, Universidad de Tarapacá"
CnEEXs8AAAAJ,-xmTLPYAAAAJ,Carlos Oyarce Marambio,"Departamento de Ingeniería y Tecnologías, Universidad de Tarapacá, Iquique-Chile"
Sy_683gAAAAJ,ksTMZaAAAAAJ,Frances Hayashida,University of New Mexico
Sy_683gAAAAJ,29OZui4AAAAJ,Axel Emil Nielsen,Consejo Nacional de Investigaciones Científicas y Técnicas - Facultad de Ciencias Naturales y Museo
Sy_683gAAAAJ,N5yszYgAAAAJ,Andres Troncoso,"Department of Anthropology, Universidad de Chile"
Sy_683gAAAAJ,KjGG55AAAAAJ,Pastor Fábrega-Álvarez,"Instituto de Ciencias del Patrimonio (Incipit), Consejo Superior de Investigaciones Científicas"
Sy_683gAAAAJ,oNbvTp8AAAAJ,Cesar Parcero-Oubiña,"Instituto de Ciencias del Patrimonio (INCIPIT), Consejo Superior de Investigaciones Científicas"
Sy_683gAAAAJ,VHopjPcAAAAJ,William Gilstrap,Massachusetts Institute of Technology
Sy_683gAAAAJ,sq3GKtMAAAAJ,David Killick,Professor of Anthropology
4_OuL30AAAAJ,gZJwoscAAAAJ,Sergio gonzález Miranda,"Universidad de Tarapacá, profesor titular"
4_OuL30AAAAJ,95XWzKgAAAAJ,Cristian Ovando Santana,"Universidad de Tarapacá, Dpto. de Ciencias Sociales."
4_OuL30AAAAJ,sC-GIj8AAAAJ,Gonzalo Alvarez Fuentes,"Investigador, Instituto de Estudios Internacionales, Universidad Arturo Prat"
4_OuL30AAAAJ,JzOYngYAAAAJ,Angélica Paz Barra Pérez,"Asistente de Dirección, Investigación y Proyectos - Instituto de Estudios Internacionales  INTE - UNAP"
4_OuL30AAAAJ,He4a1y8AAAAJ,Carlos Piñones Rivera,"Universidad de Tarapacá, Chile. Departamento de Ciencias Sociales, Iquique"
Obt0vO4AAAAJ,xqN3iYoAAAAJ,Ximena Badilla-Torrico,Universidad de Tarapacá
Obt0vO4AAAAJ,FY08fJsAAAAJ,Ricardo Valdivia Pinto,Universidad de Tarapacá
Obt0vO4AAAAJ,56doXw8AAAAJ,Pablo Guicharrousse,Universidad de Tarapacá
