scholar_id_autor_gs,scholar_id_gs_coauthor,nombre_coauthor,cargo
LEEYFekAAAAJ,17SwCcQAAAAJ,Don A Cowan,"Centre for Microbial Ecology and Genomics, University of Pretoria"
LEEYFekAAAAJ,bPAx58UAAAAJ,Francois Buscot,Helmholtz Centre for Environmental Research - UFZ
LEEYFekAAAAJ,hgmc9vAAAAAJ,Fernando T. Maestre (ORCID: 0000-0002-7434-4856),"Distinguised Researcher, Universidad de Alicante (ROR 05t8bcz72)"
LEEYFekAAAAJ,QiDUyR8AAAAJ,Linnea Smith,
LEEYFekAAAAJ,BdpltZUAAAAJ,Adriana Corrales,Universidad del Rosario
LEEYFekAAAAJ,ZaVdr3YAAAAJ,Javier ORMENO-LUNA,Universidad Nacional de San Martín - Tarapoto
LEEYFekAAAAJ,y4UjpWgAAAAJ,Mailen Ortega,"Estudiante, Universidad de Antioquia"
LEEYFekAAAAJ,LM9gf5EAAAAJ,Juliana Estefania Arcila Galvis,"Biological Engineer, Msc. Genetics and Cell Biology, PhD student at Newcastle University"
LEEYFekAAAAJ,NWb0vdoAAAAJ,Jorge Muñoz,PhD student at University of São Paulo
LEEYFekAAAAJ,0cruz98AAAAJ,Tatiana Arias,Marie Selby Botanical Gardens
LEEYFekAAAAJ,zs2iHk0AAAAJ,Paula Marchelli,Investigadora Principal de CONICET IFAB (INTA Bariloche - CONICET)
LEEYFekAAAAJ,BEHxmbcAAAAJ,Denise Moguilevsky,"Becaria Doctoral, IPATEC (Universidad Nacional del Comahue - CONICET)"
LEEYFekAAAAJ,046pwMgAAAAJ,Emanuela WA Weidlich,Lecturer at Leuphana Universität Lüneburg
LEEYFekAAAAJ,PnzcMasAAAAJ,Maarja Öpik,University of Tartu
LEEYFekAAAAJ,oKzoAuEAAAAJ,Nancy Collins Johnson,"Regents' Professor of Ecology, Northern Arizona University"
LEEYFekAAAAJ,OW2oq2sAAAAJ,Milen Duarte,Universidad Austral de Chile
LEEYFekAAAAJ,Sg-yf84AAAAJ,C. Guillermo Bueno,"Ramon y Cajal researcher - Instituto Pirenaico de Ecologia, CSIC"
LEEYFekAAAAJ,Oe_CdBwAAAAJ,Kate Scow,Distinguished Professor Soil Science & Microbial Ecology
