scholar_id_autor_gs,scholar_id_gs_coauthor,nombre_coauthor,cargo
zOYi5KwAAAAJ,fuJ0tjIAAAAJ,Thora Martina Herrmann,University of Oulu | Helmholtz-Centre for Environmental Research | German Centre for Integrative
zOYi5KwAAAAJ,nlNcn4IAAAAJ,Zoe G Davies,"Professor of Biodiversity Conservation, Durrell Institute of Conservation and Ecology (DICE)"
zOYi5KwAAAAJ,F62gTQYAAAAJ,"Henle, K.",UFZ Helmholtz Centre for Environmental Research
zOYi5KwAAAAJ,IAV2HL0AAAAJ,Ramiro D Crego,"School of Biological, Earth & Environmental Sciences, University College Cork, Ireland"
zOYi5KwAAAAJ,AcJZnfEAAAAJ,Bonacic C,Pontificia Universidad Catolica de Chile
zOYi5KwAAAAJ,OtqXc1YAAAAJ,David W. Macdonald,University of Oxford
zOYi5KwAAAAJ,_YRz_DkAAAAJ,Bernd Gruber,"Centre for Conservation Ecology and Genomics, Institute for Applied Ecology, University of Canberra"
zOYi5KwAAAAJ,1DXN06AAAAAJ,Tamara Contador Mejías,Universidad de Magallanes
zOYi5KwAAAAJ,_oDVeBYAAAAJ,Javier Rendoll Cárcamo,Investigador Universidad de Magallanes
RX00rSkAAAAJ,mG9R-S8AAAAJ,Cástor Guisande González,Professor of Ecology
RX00rSkAAAAJ,9LRHHegAAAAJ,Isabel Riveiro Alarcón,Senior Researcher Instituto Español de Oceanografia
RX00rSkAAAAJ,6AuztxcAAAAJ,Rodrigo Torres,Centro de Investigación en Ecosistemas de la Patagonia
RX00rSkAAAAJ,0WjXfNMAAAAJ,Brian Reid,Centro CIEP
RX00rSkAAAAJ,Y2RA_vMAAAAJ,Humberto González Estay,"Universidad Austral de Chile, Instituto de Ciencias Marinas y Limnológicas"
RX00rSkAAAAJ,eebbT4gAAAAJ,Alba Ruth Vergara Castaño,Universidad del Atlántico
RX00rSkAAAAJ,2lZZB4oAAAAJ,Arnoldo Valle-Levinson,University of Florida
RX00rSkAAAAJ,LIT7dY0AAAAJ,Evangelos Spyrakos,University of Stirling
RX00rSkAAAAJ,Z_OCeBYAAAAJ,Giovanni Daneri,"Director Ejecutivo, Centro de Investigación en Ecosistemas de la Patagonia CIEP"
RX00rSkAAAAJ,T2-L50AAAAAJ,Carlos M. Duarte,King Abdullah University of Science and Technology
F0Pv9tYAAAAJ,dFA2ktEAAAAJ,Juan Carlos Antuña-Marrero,"Investigador, Ephyslab, Universidad de Vigo"
F0Pv9tYAAAAJ,nQJF5_YAAAAJ,Pablo Canziani,Investigador Principal CONICET at UIDI - Universidad Tecnologica Nacional
Ci1YfBgAAAAJ,xOMaNU0AAAAJ,Boris Bravo-Ureta,"Professor, Agricultural Economics, U. of Connecticut"
Ci1YfBgAAAAJ,1YneybMAAAAJ,Daniel Solis,"Assistant Professor, Agribusiness Program, CAFS, Florida A&M University"
Ci1YfBgAAAAJ,MCZLAlUAAAAJ,Sergio Soza-Amigo,Universidad Austral de Chile
4Tv22ZQAAAAJ,XgAj98UAAAAJ,Pascal Boeckx,Ghent University
4Tv22ZQAAAAJ,EkZl9xkAAAAJ,Jeffrey J. McDonnell,"Distinguished Professor, Global Institute for Water Security, University of Saskatchewan"
4Tv22ZQAAAAJ,bepZX1QAAAAJ,Verbeeck Hans,"researcher, Ghent University"
4Tv22ZQAAAAJ,Lb_OSsMAAAAJ,Clément Stahl,écophysiologiste
4Tv22ZQAAAAJ,Jz-e27YAAAAJ,Benoit Burban,INRAE
4Tv22ZQAAAAJ,0cRl2NMAAAAJ,Niko Verhoest,"Professor of Hydrology and Water Management, Ghent University"
4Tv22ZQAAAAJ,SfDbob8AAAAJ,dries huygens,Ghent University
4Tv22ZQAAAAJ,4hu0KHwAAAAJ,Dr. Natalie Orlowski,Lecturer
4Tv22ZQAAAAJ,gbjGctUAAAAJ,Fanny Houlbreque,"Research Scientist HDR - UMR ENTROPIE, Institute for Research and Development"
