organization,scholar_id,affiliation,id_institucion,email_domain,citedby,interests
4727335469935944704,DAJUCA4AAAAJ,Universidad de Tarapacá,uta,@academicos.uta.cl,1,"Psicologia Comunitaria, Community Psychology"
4727335469935944704,2VlU2jIAAAAJ,Universidad de Tarapacá,uta,@academicos.uta.cl,1,"Historia constitucional de Chile, teoría del derecho"
4727335469935944704,ixkosUgAAAAJ,"Academico Parcial, Universidad de Tarapacá, Arica Chile",uta,@uta.cl,0,"Robot Lego, Motivación, Redes de ordenadores, Enseñanza de la Programación básica de Robótica y Móviles android educativos"
4727335469935944704,56doXw8AAAAJ,Universidad de Tarapacá,uta,@academicos.uta.cl,0,"Energy, Power Electronics, Electrical Power Systems, Electrical Machinery, Engineering Education"
4727335469935944704,Rug4V0MAAAAJ,"Bibliotecólogo, Universidad de Tarapacá",uta,@uta.cl,0,"Revisiones Sistemáticas, Bibliometría, Cienciometría"
4727335469935944704,dolpTqcAAAAJ,UTA,uta,@alumnos.uta.cl,0,Psicologia
4727335469935944704,1XMB75UAAAAJ,Universidad de Tarapacá,uta,@alumnos.uta.cl,1,"Comunicación intercultural, Formación Inicial Docente, Competencia Comunicativa Intercultural, Variación lingüística, CCI"
4727335469935944704,uN_GDa0AAAAJ,"Académico, Universidad de Tarapacá",uta,@academicos.uta.cl,0,Educación
4727335469935944704,MbNioaYAAAAJ,Universidad de Tarapacá,uta,@academicos.uta.cl,0,"Educación Superior, Política Educación Superior, Gobernabilidad democrática."
4727335469935944704,eAn5o6gAAAAJ,"Estudiante de Psicología, Universidad de Tarapacá",uta,@alumnos.uta.cl,0,"Neurociencia, Metodología, Inteligencia artificial"
4727335469935944704,UrXQ8RIAAAAJ,"Académico, Universidad de Tarapacá",uta,@academicos.uta.cl,0,"Derecho Económico, Derecho y Nuevas Tecnologías, Blockchain"
4727335469935944704,kGESgA8AAAAJ,"Profesor de Matemática, Universidad de Tarapacá",uta,@academicos.uta.cl,0,"Educación Matemática, Didáctica de la Matemática"
4727335469935944704,UAnC_gwAAAAJ,Universidad de Tarapacá,uta,@alumnos.uta.cl,0,Education
