organization,scholar_id,affiliation,id_institucion,email_domain,citedby,interests
14018219609791295521,-2Ks5O0AAAAJ,"Psychologist. Associate Professor, Universidad Santo Tomás, Chile",santotomas,@santotomas.cl,182,"Psychometrics, Psychological Trauma, PTSD, Higher education"
14018219609791295521,rl6UuJYAAAAJ,"Profesor de Derecho Político, Universidad Santo Tomas (Chile)",santotomas,@santotomas.cl,175,"derecho, historia, politica"
14018219609791295521,JCMwnNcAAAAJ,Universidad Santo Tomás,santotomas,@santotomas.cl,171,"host-parasite relationship and biological conservation, Conservation medicine, intertidal ecology"
14018219609791295521,kz5VqIQAAAAJ,Universidad Santo Tomás,santotomas,@santotomas.cl,179,Psicología infantil y  parentalidad
14018219609791295521,ttwY0R0AAAAJ,Profesor Universidad Santo Tomás,santotomas,@santotomas.cl,166,"Microeconomía, Econometría, Eficiencia Técnica, Modelos Dinámicos."
14018219609791295521,dBfb_BEAAAAJ,"Centro de Investigación e Innovación en Gerontología Aplicada CIGAP, Universidad Santo Tomás",santotomas,@santotomas.cl,176,"Neuropsicología, Gerontología, Demencia, Deterioro Cognitivo"
14018219609791295521,kF7MJKAAAAAJ,"Profesor Bioquimica y Biologia Molecular, Universidad Santo Tomas",santotomas,@santotomas.cl,135,"Microbiologia, Biologia Molecular, salud"
14018219609791295521,-OBRzbUAAAAJ,"Profesor Asistente, Universidad Santo Tomás",santotomas,@santotomas.cl,112,"Physiology of visual system, Alzheimer's disease, Complexity analysis"
14018219609791295521,W3dQzqUAAAAJ,Universidad Santo Tomas,santotomas,@santotomas.cl,111,"Rural financial market, technology trasfer, develoment economics"
14018219609791295521,XowH8MMAAAAJ,"Facultad de Ciencias Sociales y Comunicaciones, Universidad Santo Tomás",santotomas,@santotomas.cl,111,Diversidades sexo genéricas - Responsabilidad Social
14018219609791295521,-KychSwAAAAJ,Universidad Santo Tomás; Universidad de Sevilla; UNIR,santotomas,@santotomas.cl,103,"derecho administrativo, contratación pública, public procurement, contratti pubblici, public law"
14018219609791295521,S2UarykAAAAJ,UNIVERSIDAD SANTO TOMAS,santotomas,@SANTOTOMAS.CL,100,"MICROBIOLOGÍA, VETERINARIA"
14018219609791295521,FcRHcdoAAAAJ,"Escuela de Nutrición y Dietética, Universidad Santo Tomás, Chile.",santotomas,@santotomas.cl,100,"Comportamiento alimentario, Psicología de la salud, Inmigración."
14018219609791295521,SJuVbHoAAAAJ,Universidad Santo Tomás,santotomas,@santotomas.cl,85,"Desarrollo infantil, parentalidad, psicoterapia"
14018219609791295521,erGthQEAAAAJ,Universidad Santo Tomás,santotomas,@santotomas.cl,76,"Estudios Latinoaméricanos, nuevas tecnologias, militarismo"
14018219609791295521,3DD0HlsAAAAJ,Universidad Santo Tomás,santotomas,@santotomas.cl,72,Evolución
14018219609791295521,f5qWgn8AAAAJ,"Profesor Asistente, Escuela de Auditoría y Control de Gestión, Universidad Santo Tomás",santotomas,@santotomas.cl,69,"Gestión de la Calidad, Gestión Hospitalaria, Calidad de la Educación Superior, Planificación Estratégica"
14018219609791295521,aN8IbCMAAAAJ,"Research Professor, Faculty of Economics and Business, Universidad Santo Tomás",santotomas,@santotomas.cl,67,"Organizational behavior, neuroscience, engagement, digital transformation, cross-cultural management"
14018219609791295521,_YLcFIEAAAAJ,Universidad Santo Tomas,santotomas,@santotomas.cl,56,Historia
14018219609791295521,Cr-4uosAAAAJ,Universidad Santo Tomás; Universidad Católica del Norte,santotomas,@santotomas.cl,60,"psicología social, cuidado humanizado, Relaciones interpersonales en contextos de salud"
