organization,scholar_id,affiliation,id_institucion,email_domain,citedby,interests
7010446216104013295,kXvvrzwAAAAJ,"Departamento de Matemáticas, Universidad de Antofagasta",uantof,@uantof.cl,180,Lie algebras
7010446216104013295,ggHiQPoAAAAJ,Universidad de Antofagasta,uantof,@uantof.cl,179,"Biotechnology, Environmental biotechnology"
7010446216104013295,d2des_8AAAAJ,Universidad de Antofagasta,uantof,@uantof.cl,181,"Mathematical modelling, Mining processes, Biotechnology"
7010446216104013295,jpsLs_4AAAAJ,Profesor Asociado Universidad de Antofagasta,uantof,@uantof.cl,168,toxicologia de venenos
7010446216104013295,KEhrT3QAAAAJ,Universidad de Antofagasta,uantof,@uantof.cl,133,"Spectral Graph Theory, Matrix Analysis, Combinatorics, Algebra"
7010446216104013295,h6R71uwAAAAJ,Universidad de Antofagasta,uantof,@uantof.cl,124,Bioinformàtica & Biotecnologìa
7010446216104013295,Pj6NExgAAAAJ,Universidad de Antofagasta,uantof,@uantof.cl,127,"Bienestar, Calidad de Vida y Salud"
7010446216104013295,98kgK2UAAAAJ,Universidad de Antofagasta,uantof,@uantof.cl,111,"Física, Materia condensada"
7010446216104013295,1sbFcWkAAAAJ,Universidad de Antofagasta,uantof,@uantof.cl,105,Tecnologia de alimentos
7010446216104013295,rc7rLMUAAAAJ,"Researcher, University of Antofagasta",uantof,@uantof.cl,98,"Vertical Greening Systems, Green Infrastructures, Landscape Architecture"
7010446216104013295,_QwQfgIAAAAJ,Universidad de Antofagasta,uantof,@uantof.cl,94,"Informática educativa, TIC, Adaptive Hypermedia"
7010446216104013295,oiW4j24AAAAJ,Universidad de Antofagasta,uantof,@uantof.cl,95,"Derecho penal, Derecho penal internacional"
7010446216104013295,FliEB3wAAAAJ,"Académica del Departamento Ingeniería Industrial, Universidad de Antofagasta. Chile",uantof,@uantof.cl,90,"Gestión de Operaciones, Economía Circular, Minería, Tratamiento de Agua"
7010446216104013295,TYRxGZoAAAAJ,Universidad de Antofagasta,uantof,@uantof.cl,89,Gestión Universitaria - Evaluación y Calidad Educativa - Acreditación -
7010446216104013295,7gt1owcAAAAJ,"Departamento de Enfermería. Facultad de Ciencias de la Salud. Universidad de Antofagasta, Chile",uantof,@uantof.cl,94,"Espiritualidad, Inteligencia emocional, suicidio, salud mental, burnout"
7010446216104013295,mzCsqPIAAAAJ,"Profesor Derecho Procesal, Universidad de Antofagasta",uantof,@uantof.cl,81,"Derecho procesal, proceso penal"
7010446216104013295,cIzQJ2AAAAAJ,Académico Universidad de Antofagasta,uantof,@uantof.cl,78,Energía Solar
7010446216104013295,bwU3fKcAAAAJ,Universidad de Antofagasta,uantof,@uantof.cl,80,"gerontología, arteterapia, salud mental, arte."
7010446216104013295,iXsjBFAAAAAJ,Universidad de Antofagasta,uantof,@uantof.cl,72,"Didáctica de las ciencias sociales, formación ciudadana, didáctica del patrimonio, interculturalidad"
7010446216104013295,5-5Otp4AAAAJ,Universidad de Antofagasta,uantof,@uantof.cl,69,"Derechos fundamentales, Teoría de la Constitución, Capitalismo, Migraciones."
7010446216104013295,2ur7gp4AAAAJ,"Profesor de neurorehabilitación,Universidad de Antofagasta",uantof,@uantof.cl,62,"neurologia, rehabilitación"
7010446216104013295,XxYxfrcAAAAJ,Universidad de Antofagasta,uantof,@uantof.cl,57,"Teoría de matrices y problemas inversos de autovalores, divisores elementales y valores singulares"
7010446216104013295,sBxbzYYAAAAJ,"Universidad de Antofagasta, Chile",uantof,@uantof.cl,55,GeoGebra y Física-matemática
7010446216104013295,-mAY9iEAAAAJ,"Faculty of Health Sciences, University of Antofagasta",uantof,@uantof.cl,57,"Reproductive Biology, Andrology, Embryology, Endocrinology"
7010446216104013295,XvWQQ8MAAAAJ,Universidad de Antofagasta,uantof,@uantof.cl,53,
7010446216104013295,cl4oL20AAAAJ,Universidad de Antofagasta,uantof,@uantof.cl,45,"granular flow, discrete element method, computational fluid dynamics"
7010446216104013295,AyspMUgAAAAJ,"Professor of Strategy and Human Capital, University of Antofagasta, Chile",uantof,@uantof.cl,50,Strategy and Human Capital Management
7010446216104013295,i3fcHQIAAAAJ,"Profesor de Psicología Educativa, Universidad de Antofagasta",uantof,@uantof.cl,38,"Educación, Psicología, Investigación Educativa"
7010446216104013295,GfgtjXEAAAAJ,Universidad de Antofagasta,uantof,@uantof.cl,34,Docencia
7010446216104013295,O4-UVBMAAAAJ,"Departamento de Enfermería, Universidad de Antofagasta",uantof,@uantof.cl,32,"Enfermería del trabajo, Salud laboral, Revisiones"
7010446216104013295,zHyI0G8AAAAJ,Universidad de Antofagasta,uantof,@uantof.cl,27,
7010446216104013295,QT3Kns4AAAAJ,Investigador. Universidad de Antofagasta.,uantof,@uantof.cl,17,Formación Docente
7010446216104013295,aSpJGpwAAAAJ,Universidad de Antofagasta,uantof,@uantof.cl,13,literatura
7010446216104013295,HBZ1CgYAAAAJ,"Académico, Departamento de Ciencias de la Rehabilitación y el Movimiento Humano, Universidad de Antofagasta",uantof,@uantof.cl,10,"Análisis cuantitativo del movimiento humano, variabilidad"
7010446216104013295,mbip4W0AAAAJ,"Académico, Universidad de Antofagasta",uantof,@uantof.cl,6,"interculturalidad, alteridad, etnicidad, medioambiente, antropologia"
7010446216104013295,L2II8yUAAAAJ,"Profesor departamento de Minas ,Universidad de Antofagasta",uantof,@uantof.cl,6,"geoestadistica, planificacion minera, fluidos y ventilacion de minas, teoria del caos"
7010446216104013295,Us9_TAwAAAAJ,"Facultad de Educación, Universidad de Antofagasta",uantof,@uantof.cl,6,"Gramática del español, didáctica de la gramática, diversidad lingüística"
7010446216104013295,Y8CG0YwAAAAJ,Universidad de Antofagasta,uantof,@uantof.cl,4,Educación y Didáctica
7010446216104013295,m8vWXqEAAAAJ,Universidad de Antofagasta,uantof,@uantof.cl,1,"Educación, Educación Física, Sociología del Deporte, Gestión Deportiva"
7010446216104013295,kMFq0ZIAAAAJ,"Professor of Physics, Universidad de Antofagasta",uantof,@uantof.cl,0,"gravity theories, gauge theories, supersymmetry"
